featureName,featureClass,lat,lon,elevationFeet
Saint Louis Peak,Summit,39.7949865,-105.9386252,12257
Bills Peak,Summit,39.8558197,-105.9622375,12621
Byers Peak,Summit,39.8644308,-105.9472369,12815
Red Mountain,Summit,39.7588758,-105.8388985,12296
Stanley Mountain,Summit,39.7858202,-105.8227868,12529
Colorado Mines Peak,Summit,39.7958204,-105.764451,12392
Vasquez Peak,Summit,39.7960979,-105.8550104,12939
Twin Cones,Summit,39.8372092,-105.7863965,12050
Cone Mountain,Summit,39.7830428,-105.7408389,12237
Red Elephant Hill,Summit,39.7769319,-105.6483355,10292
Fox Mountain,Summit,39.8330429,-105.6436133,10932
Mount Eva,Summit,39.8274872,-105.7186161,13130
Witter Peak,Summit,39.8141539,-105.7161159,12854
Breckinridge Peak,Summit,39.7994316,-105.7241717,12864
Mount Flora,Summit,39.8049872,-105.7363944,13126
Parry Peak,Summit,39.8380428,-105.7133381,13373
Haystack Mountain,Summit,39.8669316,-105.6919485,11762
James Peak,Summit,39.8522094,-105.6900039,13307
Mount Bancroft,Summit,39.8416539,-105.7005598,12044
Kingston Peak,Summit,39.8474873,-105.6508358,12132
Bellevue Mountain,Summit,39.763599,-105.5422203,9691
Alps Hill,Summit,39.78721,-105.5419426,9747
Quartz Hill,Summit,39.7885989,-105.5355535,9577
Seaton Mountain,Summit,39.7602658,-105.5127747,9094
Pewabic Mountain,Summit,39.7691546,-105.5288865,9918
Bobtail Hill,Summit,39.7924878,-105.5063857,8940
Mammoth Hill,Summit,39.7958211,-105.5074969,8861
Central Hill,Summit,39.7977656,-105.5111082,8661
Nevada Hill,Summit,39.7977655,-105.5341646,9219
Bates Hill,Summit,39.8030434,-105.5055524,8517
Winnebago Hill,Summit,39.8052656,-105.5119416,8776
Aunt Clara Brown Hill,Summit,39.8080433,-105.5252754,9088
Castle Rock,Pillar,39.8077655,-105.5138861,8569
Maryland Mountain,Summit,39.8124877,-105.5058303,9209
Queens Chair,Pillar,39.8166544,-105.5186086,8802
Bald Mountain,Summit,39.7922099,-105.5544431,9980
Sheridan Hill,Summit,39.8202653,-105.6027783,10728
California Mountain,Summit,39.8683206,-105.5880558,10627
Montana Mountain,Summit,39.8577651,-105.5983339,10938
Blackhawk Peak,Summit,39.8408208,-105.5474986,10167
Michigan Hill,Summit,39.8469318,-105.5641659,10417
Arizona Mountain,Summit,39.850543,-105.5833333,10298
Idaho Hill,Summit,39.8613763,-105.5830556,10535
Utah Hill,Summit,39.8622096,-105.5638882,10499
Oregon Hill,Summit,39.8591541,-105.5577768,10892
Dakota Hill,Summit,39.8691541,-105.5536101,10925
Fairburn Mountain,Summit,39.8594319,-105.5055527,10384
Banta Hill,Summit,39.7752657,-105.4936075,8651
Justice Hill,Summit,39.7830435,-105.4897185,8730
Signal Hill,Summit,39.7913767,-105.4861074,8802
Douglas Mountain,Summit,39.786932,-105.3766597,9603
Black Hawk Mountain,Summit,39.7999876,-105.4130497,9367
Ely Hill,Summit,39.8047098,-105.4202721,10000
Smith Hill,Summit,39.8024876,-105.4419395,8737
Silver Hill,Summit,39.8169321,-105.49583,9062
Dory Hill,Summit,39.8385987,-105.4874964,9606
Ralston Roost,Pillar,39.8383207,-105.4241613,9258
Tremont Mountain,Summit,39.8663761,-105.4366617,10377
Centennial Cone,Summit,39.7524877,-105.3588813,8661
